platform,trial_id,object_mass_g,speed_m_s,repeat
ARX L5,01-01,1270.0,0.02,0
ARX L5,01-02,1270.0,0.02,1
ARX L5,01-03,1270.0,0.02,2
ARX L5,01-04,1270.0,0.04,0
ARX L5,01-05,1270.0,0.04,1
ARX L5,01-06,1270.0,0.04,2
ARX L5,01-07,1270.0,0.06,0
ARX L5,01-08,1270.0,0.06,1
ARX L5,01-09,1270.0,0.06,2
ARX L5,01-10,1610.0,0.02,0
ARX L5,01-11,1610.0,0.02,1
ARX L5,01-12,1610.0,0.02,2
ARX L5,01-13,1610.0,0.04,0
ARX L5,01-14,1610.0,0.04,1
ARX L5,01-15,1610.0,0.04,2
ARX L5,01-16,1610.0,0.06,0
ARX L5,01-17,1610.0,0.06,1
ARX L5,01-18,1610.0,0.06,2
ARX L5,01-19,300.0,0.02,0
ARX L5,01-20,300.0,0.02,1
ARX L5,01-21,300.0,0.02,2
ARX L5,01-22,300.0,0.04,0
ARX L5,01-23,300.0,0.04,1
ARX L5,01-24,300.0,0.04,2
ARX L5,01-25,300.0,0.06,0
ARX L5,01-26,300.0,0.06,1
ARX L5,01-27,300.0,0.06,2
ARX L5,01-28,610.0,0.02,0
ARX L5,01-29,610.0,0.02,1
ARX L5,01-30,610.0,0.02,2
ARX L5,01-31,610.0,0.04,0
ARX L5,01-32,610.0,0.04,1
ARX L5,01-33,610.0,0.04,2
ARX L5,01-34,610.0,0.06,0
ARX L5,01-35,610.0,0.06,1
ARX L5,01-36,610.0,0.06,2
ARX L5,01-37,930.0,0.02,0
ARX L5,01-38,930.0,0.02,1
ARX L5,01-39,930.0,0.02,2
ARX L5,01-40,930.0,0.04,0
ARX L5,01-41,930.0,0.04,1
ARX L5,01-42,930.0,0.04,2
ARX L5,01-43,930.0,0.06,0
ARX L5,01-44,930.0,0.06,1
ARX L5,01-45,930.0,0.06,2
G1 right arm,02-01,300.0,0.02,1
G1 right arm,02-02,300.0,0.02,2
G1 right arm,02-03,300.0,0.02,3
G1 right arm,02-04,300.0,0.04,1
G1 right arm,02-05,300.0,0.04,2
G1 right arm,02-06,300.0,0.04,3
G1 right arm,02-07,300.0,0.06,1
G1 right arm,02-08,300.0,0.06,2
G1 right arm,02-09,300.0,0.06,3
G1 right arm,02-10,610.0,0.02,1
G1 right arm,02-11,610.0,0.02,2
G1 right arm,02-12,610.0,0.02,3
G1 right arm,02-13,610.0,0.04,1
G1 right arm,02-14,610.0,0.04,2
G1 right arm,02-15,610.0,0.04,3
G1 right arm,02-16,610.0,0.06,1
G1 right arm,02-17,610.0,0.06,2
G1 right arm,02-18,610.0,0.06,3
G1 right arm,02-19,930.0,0.02,1
G1 right arm,02-20,930.0,0.02,2
G1 right arm,02-21,930.0,0.02,3
G1 right arm,02-22,930.0,0.04,1
G1 right arm,02-23,930.0,0.04,2
G1 right arm,02-24,930.0,0.04,3
G1 right arm,02-25,930.0,0.06,1
G1 right arm,02-26,930.0,0.06,2
G1 right arm,02-27,930.0,0.06,3
G1 right arm,02-28,1270.0,0.02,1
G1 right arm,02-29,1270.0,0.02,2
G1 right arm,02-30,1270.0,0.02,3
G1 right arm,02-31,1270.0,0.04,1
G1 right arm,02-32,1270.0,0.04,2
G1 right arm,02-33,1270.0,0.04,3
G1 right arm,02-34,1270.0,0.06,1
G1 right arm,02-35,1270.0,0.06,2
G1 right arm,02-36,1270.0,0.06,3
G1 right arm,02-37,1610.0,0.02,1
G1 right arm,02-38,1610.0,0.02,2
G1 right arm,02-39,1610.0,0.02,3
G1 right arm,02-40,1610.0,0.04,1
G1 right arm,02-41,1610.0,0.04,2
G1 right arm,02-42,1610.0,0.04,3
G1 right arm,02-43,1610.0,0.06,1
G1 right arm,02-44,1610.0,0.06,2
G1 right arm,02-45,1610.0,0.06,3
